groupid,runid,profile,context,rank,title,description,url,docId
group44,run44a,700,101,3,Millennium Park,description,http://www.millenniumpark.org/,
group44,run44a,700,101,4,Topolobampo/Frontera Grill,description,http://www.rickbayless.com/,
group44,run44a,700,101,3,Alinea,description,http://www.alinearestaurant.com/,
group44,run44a,700,101,1,Willis Tower,description,http://www.the-skydeck.com/,
group44,run44a,700,101,3,Billy Goat Tavern,description,http://www.billygoattavern.com/,
group44,run44a,700,101,2,Hot Doug's,description,http://www.hotdougs.com/,
group44,run44a,700,101,3,Little Goat,description,http://www.littlegoatchicago.com/,
group44,run44a,700,101,2,Art Institute of Chicago,description,http://www.artic.edu/,
group44,run44a,700,101,3,Longman & Eagle,description,http://www.longmanandeagle.com/,
group44,run44a,700,101,3,Navy Pier,description,http://www.navypier.com/,
group44,run44a,700,101,3,Sweet Maple Cafe,description,http://www.sweetmaplecafe.com/,
group44,run44a,700,101,3,Hoosier Mama Pie Company,description,http://www.hoosiermamapie.com/,
group44,run44a,700,101,3,Logan Hardware,description,http://www.logan-hardware.com/,
group44,run44a,700,101,3,Hopleaf,description,http://www.hopleaf.com/,
group44,run44a,700,101,2,Signature Lounge,description,http://www.signatureroom.com/,
group44,run44a,700,101,2,John Hancock Center,description,http://www.jhochicago.com/,
group44,run44a,700,101,3,Ruxbin,description,http://www.ruxbinchicago.com/,
group44,run44a,700,101,4,Hideout,description,http://www.hideoutchicago.com/,
group44,run44a,700,101,3,Lou Mitchell's,description,http://www.loumitchellsrestaurant.com/,
group44,run44a,700,101,3,Andy's Thai Kitchen,description,http://www.andysthaikitchen.com/,
group44,run44a,700,101,3,Crisp,description,http://www.crisponline.com/,
group44,run44a,700,101,2,Green Mill,description,http://www.greenmilljazz.com/,
group44,run44a,700,101,3,Old Town Ale House,description,http://www.theoldtownalehouse.com/,
group44,run44a,700,101,3,Buddy Guy's Legends,description,http://www.buddyguys.com/,
group44,run44a,700,101,4,Adler Planetarium & Astronomy Museum,description,http://www.adlerplanetarium.org/,
group44,run44a,700,101,2,Metro,description,http://www.metrochicago.com/,
group44,run44a,700,101,2,Clark Street Ale House,description,http://www.clarkstreetalehouse.com/,
group44,run44a,700,101,2,Shedd Aquarium,description,http://www.sheddaquarium.org/,
group44,run44a,700,101,3,Field Museum of Natural History,description,http://www.fieldmuseum.org/,
group44,run44a,700,101,2,Humboldt Park,description,http://www.chicagoparkdistrict.com/,
group44,run44a,700,101,1,Lincoln Park Zoo,description,http://www.lpzoo.org/,
group44,run44a,700,101,3,Willie Dixon's Blues Heaven,description,http://www.bluesheaven.com/,
group44,run44a,700,101,3,Chicago Cultural Center,description,http://www.chicagoculturalcenter.org/,
group44,run44a,700,101,2,Graceland Cemetery,description,http://www.gracelandcemetery.org/,
group44,run44a,700,101,2,River North Galleries,description,http://www.chicagoartdealers.org/,
group44,run44a,700,101,1,Holy Name Cathedral,description,http://www.holynamecathedral.org/,
group44,run44a,700,101,3,National Museum of Mexican Art,description,http://www.nationalmuseumofmexicanart.org/,
group44,run44a,700,101,2,Merchandise Mart,description,http://www.mmart.com/,
group44,run44a,700,101,3,Museum of Science & Industry,description,http://www.msichicago.org/,
group44,run44a,700,101,3,Steppenwolf Theatre,description,http://www.steppenwolf.org/,
group44,run44a,700,101,3,Garfield Park Conservatory,description,http://www.garfieldconservatory.org/,
group44,run44a,700,101,4,Chicago White Sox,description,http://www.whitesox.com/,
group44,run44a,700,101,4,Chicago Theatre,description,http://www.thechicagotheatre.com/,
group44,run44a,700,101,3,Moody Church,description,http://www.moodychurch.org/,
group44,run44a,700,101,3,Kuma???s Corner,description,http://www.kumascorner.com/,
group44,run44a,700,101,4,Chicago Cubs,description,http://www.cubs.com/,
group44,run44a,700,101,2,Magnificent Mile,description,http://www.themagnificentmile.com/,
group44,run44a,700,101,1,Neo,description,http://www.neodanceclub.com,
group44,run44a,700,101,2,Rory Lake???s Karaoke Dreams,description,http://www.rorylakepresents.com/Karaoke_Dreams.html,
group44,run44a,700,101,2,Santa Fe Opera,description,http://www.santafeopera.org,
group44,run44a,700,101,3,Georgia O'Keeffe Museum,description,http://www.okeeffemuseum.org/,
group44,run44a,700,101,3,Santa Fe Indian Market,description,http://www.swaia.org/,
group44,run44a,700,101,4,Cafe Pasqual's,description,http://www.pasquals.com/,
group44,run44a,700,101,2,Coyote Caf??,description,http://www.coyotecafe.com/,
